train_condition,run_id,object_name,true_class_std,object_accuracy_percent,n_samples
error_trained_xyz,3,012_strawberry,sphere,100.0,20
error_trained_xyz,3,014_lemon,sphere,100.0,20
error_trained_xyz,3,015_peach,sphere,100.0,20
error_trained_xyz,3,017_orange,sphere,100.0,20
error_trained_xyz,3,018_plum,sphere,100.0,20
error_trained_xyz,3,019_pitcher_base,cylinder,100.0,20
error_trained_xyz,3,025_mug,cylinder,95.0,20
error_trained_xyz,3,026_sponge,box,0.0,20
error_trained_xyz,3,036_wood_block,box,100.0,20
error_trained_xyz,3,040_large_marker,cylinder,25.0,20
error_trained_xyz,3,054_softball,sphere,100.0,20
error_trained_xyz,3,055_baseball,sphere,100.0,20
error_trained_xyz,3,056_tennis_ball,sphere,100.0,20
error_trained_xyz,3,057_racquetball,sphere,100.0,20
error_trained_xyz,3,058_golf_ball,sphere,100.0,20
error_trained_xyz,3,061_foam_brick,box,100.0,20
error_trained_xyz,3,063_a_marbles,sphere,0.0,20
error_trained_xyz,3,065_a_cups,cylinder,85.0,20
error_trained_xyz,3,077_rubiks_cube,box,100.0,20
error_trained_xyz,4,001_chips_can,cylinder,100.0,20
error_trained_xyz,4,002_master_chef_can,cylinder,95.0,20
error_trained_xyz,4,003_cracker_box,box,95.0,20
error_trained_xyz,4,004_sugar_box,box,90.0,20
error_trained_xyz,4,005_tomato_soup_can,cylinder,80.0,20
error_trained_xyz,4,007_tuna_fish_can,cylinder,100.0,20
error_trained_xyz,4,008_pudding_box,box,65.0,20
error_trained_xyz,4,009_gelatin_box,box,90.0,20
error_trained_xyz,4,010_potted_meat_can,box,100.0,20
error_trained_xyz,4,012_strawberry,sphere,100.0,20
error_trained_xyz,4,014_lemon,sphere,100.0,20
error_trained_xyz,4,015_peach,sphere,100.0,20
error_trained_xyz,4,017_orange,sphere,100.0,20
error_trained_xyz,4,018_plum,sphere,100.0,20
error_trained_xyz,4,019_pitcher_base,cylinder,95.0,20
error_trained_xyz,4,025_mug,cylinder,85.0,20
error_trained_xyz,4,026_sponge,box,0.0,20
error_trained_xyz,4,036_wood_block,box,100.0,20
error_trained_xyz,4,040_large_marker,cylinder,0.0,20
error_trained_xyz,4,054_softball,sphere,100.0,20
error_trained_xyz,4,055_baseball,sphere,100.0,20
error_trained_xyz,4,056_tennis_ball,sphere,100.0,20
error_trained_xyz,4,057_racquetball,sphere,100.0,20
error_trained_xyz,4,058_golf_ball,sphere,100.0,20
error_trained_xyz,4,061_foam_brick,box,100.0,20
error_trained_xyz,4,063_a_marbles,sphere,0.0,20
error_trained_xyz,4,065_a_cups,cylinder,80.0,20
error_trained_xyz,4,077_rubiks_cube,box,95.0,20
error_trained_xyz,5,001_chips_can,cylinder,100.0,20
error_trained_xyz,5,002_master_chef_can,cylinder,95.0,20
error_trained_xyz,5,003_cracker_box,box,100.0,20
error_trained_xyz,5,004_sugar_box,box,100.0,20
error_trained_xyz,5,005_tomato_soup_can,cylinder,85.0,20
error_trained_xyz,5,007_tuna_fish_can,cylinder,100.0,20
error_trained_xyz,5,008_pudding_box,box,95.0,20
error_trained_xyz,5,009_gelatin_box,box,100.0,20
error_trained_xyz,5,010_potted_meat_can,box,95.0,20
error_trained_xyz,5,012_strawberry,sphere,100.0,20
error_trained_xyz,5,014_lemon,sphere,100.0,20
error_trained_xyz,5,015_peach,sphere,100.0,20
